time,iops,bandwidth,amplification,host_write,host_read,disk_write,disk_read,block_erased,failures
0,0,0,0,0,0,0,0,0,0
22545,22222,86.81,1.00,501,0,501,0,0,0
45045,22222,86.81,1.00,1001,0,1001,0,0,0
67545,22222,86.81,1.00,1501,0,1501,0,0,0
90045,22222,86.81,1.00,2001,0,2001,0,0,0
112545,22222,86.81,1.00,2501,0,2501,0,0,0
135045,22222,86.81,1.00,3001,0,3001,0,0,0
157545,22222,86.81,1.00,3501,0,3501,0,0,0
180045,22222,86.81,1.00,4001,0,4001,0,0,0
202545,22222,86.81,1.00,4501,0,4501,0,0,0
225000,22222,86.81,1.00,5000,0,5000,0,0,0
