time,iops,bandwidth,amplification,host_write,host_read,disk_write,disk_read,block_erased,failures,dirty
0,0,0,0,0,0,0,0,0,0,0
80040,25000,97.66,1.00,2001,0,2001,0,0,0,58
160040,25000,97.66,1.00,4001,0,4001,0,0,0,243
240040,25000,97.66,1.00,6001,0,6001,0,0,0,503
320040,25000,97.66,1.00,8001,0,8001,0,0,0,875
403580,24949,96.80,1.00,10001,0,10035,34,1,0,1330
547440,24474,85.63,1.06,12000,0,12699,699,17,0,1716
822500,23830,66.49,1.20,14000,0,16800,2800,63,0,1781
1235560,23351,50.58,1.40,16000,0,22426,6426,140,0,1543
1665740,23218,42.21,1.57,17999,0,28337,10338,217,0,1376
2025960,23256,38.56,1.68,19998,0,33557,13559,275,0,1519
