time,iops,bandwidth,amplification,host_write,host_read,disk_write,disk_read,block_erased,failures,dirty
0,0,0,0,0,0,0,0,0,0,0
90045,22222,86.81,1.00,2001,0,2001,0,0,0,0
180045,22222,86.81,1.00,4001,0,4001,0,0,0,0
270045,22222,86.81,1.00,6001,0,6001,0,0,0,0
360045,22222,86.81,1.00,8001,0,8001,0,0,0,0
449955,22222,86.81,1.00,9999,0,9999,0,0,0,0
539505,22222,86.81,1.00,11989,0,11989,0,0,0,0
628830,22222,86.81,1.00,13974,0,13974,0,0,0,0
717840,22222,86.81,1.00,15952,0,15952,0,0,0,0
806400,22222,86.81,1.00,17920,0,17920,0,0,0,0
894780,22222,86.81,1.00,19884,0,19884,0,0,0,0
