time,iops,bandwidth,amplification,host_write,host_read,disk_write,disk_read,block_erased,failures,dirty
0,0,0,0,0,0,0,0,0,0,0
80040,25000,97.66,1.00,2001,0,2001,0,0,0,62
160040,25000,97.66,1.00,4001,0,4001,0,0,0,231
240040,25000,97.66,1.00,6001,0,6001,0,0,0,514
320040,25000,97.66,1.00,8001,0,8001,0,0,0,883
400040,25000,97.66,1.00,10001,0,10001,0,0,0,1410
480040,25000,97.66,1.00,12001,0,12001,0,0,0,1986
559960,25000,97.66,1.00,13999,0,13999,0,0,0,2692
639760,25000,97.66,1.00,15994,0,15994,0,0,0,3481
719480,25000,97.66,1.00,17987,0,17987,0,0,0,4373
799000,25000,97.66,1.00,19975,0,19975,0,0,0,5380
